Zipcode,EstimatedPopulation,TotalWages,Result
2180,19086.0,590223756.0,30924.434454574035
2184,152030.0,4709572685.0,30977.916759850028
2186,45256.0,2003928544.0,44279.842319250485
2188,24232.0,685243588.0,28278.45774182899
2189,23538.0,648356350.0,27545.090916815363
2190,55404.0,1650992516.0,29799.15738935817
2191,21861.0,599085339.0,27404.29710443255
2196,780.0,56979484.0,73050.62051282052
2199,1239.0,131945542.0,106493.57707828894
2205,1513.0,36858731.0,24361.355584930603
2210,1495.0,125277777.0,83797.84414715719
2215,21294.0,864011916.0,40575.36939983094
2238,1482.0,41157090.0,27771.315789473683
2269,426.0,10946967.0,25697.105633802817
2301,44024.0,893244392.0,20289.941668180993
2302,25132.0,542792129.0,21597.64957026898
2303,1124.0,22756824.0,20246.284697508898
2322,3831.0,98754584.0,25777.756199425738
2324,19223.0,572230266.0,29768.000104042032
2327,1052.0,22123404.0,21029.851711026615
2330,9328.0,238966437.0,25618.185784734134
2331,1673.0,67597887.0,40405.19246861924
2332,11874.0,568634746.0,47889.064005389926
2333,35625.0,982467924.0,27578.046989473685
2338,6682.0,180548770.0,27020.169111044597
2339,37191.0,1411097115.0,37941.89763652497
2341,8504.0,241589984.0,28408.982126058327
2343,9085.0,241242817.0,26553.969950467803
2345,2552.0,58927196.0,23090.594043887148
2346,38924.0,968965880.0,24893.789949645463
2347,18638.0,559587460.0,30024.007940766176
2350,894.0,21234078.0,23751.765100671142
2351,13780.0,406154585.0,29474.207910014513
2356,41324.0,1688118300.0,40850.79614751718
2359,30074.0,935740714.0,31114.607767506815
2360,88666.0,2490478422.0,28088.313694087927
2362,902.0,23189079.0,25708.513303769403
2364,31668.0,950508000.0,30014.778325123152
2367,2488.0,70555383.0,28358.272909967847
2368,26599.0,668926640.0,25148.563479830067
2370,14690.0,372071550.0,25328.219877467665
2375,34112.0,1120329536.0,32842.68105065666
2379,12060.0,342405058.0,28391.795854063017
2382,12411.0,329234328.0,26527.62291515591
2420,13148.0,741054557.0,56362.53095527837
2421,15237.0,791322042.0,51934.24177987793
2445,16149.0,871688763.0,53977.87869217908
2446,21302.0,1038890274.0,48769.61196131819
2451,29052.0,983126298.0,33840.2277984304
2452,19462.0,643084066.0,33043.06165861679
2453,40152.0,1216992424.0,30309.633990834827
2454,473.0,10362378.0,21907.775898520085
2458,31065.0,1494997398.0,48124.81564461613
2459,80765.0,4532554195.0,56120.277285953074
2460,15528.0,723086490.0,46566.62094281298
2461,18759.0,1074165831.0,57261.35886774348
2462,4736.0,202547020.0,42767.52956081081
2464,7440.0,280708530.0,37729.64112903226
2465,30864.0,1750636104.0,56720.97278382582
2466,11676.0,510967516.0,43762.205892428916
2467,65355.0,4063602125.0,62177.37166245888
2468,10280.0,679594890.0,66108.45233463035
2472,78663.0,2678421996.0,34049.32428206399
2474,66825.0,2515030422.0,37636.07066217733
2476,14383.0,585309228.0,40694.51630396996
2478,21169.0,955500316.0,45136.77150550333
2481,52048.0,5439633132.0,104511.856978174
2482,8821.0,725439303.0,82240.0298152137
2492,35174.0,2120738044.0,60292.77432194234
2493,59034.0,6900857250.0,116896.31822339668
2494,23730.0,1106546682.0,46630.70720606827
2532,17560.0,419855290.0,23909.754555808657
2534,855.0,23227948.0,27167.190643274855
2535,3000.0,57081027.0,19027.009
2536,100356.0,2141156496.0,21335.610187731676
2537,11058.0,331781462.0,30003.749502622537
2538,7314.0,151321886.0,20689.347279190595
2539,8472.0,180431246.0,21297.361425873467
2540,5909.0,137385371.0,23250.18971061093
2541,571.0,12349354.0,21627.590192644482
2542,2905.0,49995785.0,17210.253012048193
2543,2502.0,68661255.0,27442.547961630695
2553,2062.0,48238004.0,23393.794374393794
2554,7752.0,195641777.0,25237.58733230134
2556,6654.0,186762518.0,28067.706342049896
2557,2451.0,48137834.0,19640.07915136679
2558,1831.0,35269964.0,19262.678317859092
2559,5728.0,123131232.0,21496.374301675976
2561,722.0,13592049.0,18825.552631578947
2562,5740.0,156205760.0,27213.547038327528
2563,9499.0,254396980.0,26781.448573534057
2568,29515.0,606020705.0,20532.634423174655
2571,8360.0,183129110.0,21905.395933014355
2574,2004.0,40571258.0,20245.13872255489
2575,3262.0,66678002.0,20440.834457388104
2576,6958.0,157198674.0,22592.50847944812
2584,1700.0,46938856.0,27611.09176470588
2601,10685.0,182300442.0,17061.342255498363
2630,1895.0,50715110.0,26762.591029023748
2631,8575.0,167998522.0,19591.664373177842
2632,9476.0,219173799.0,23129.358273533137
2633,3482.0,67503884.0,19386.526134405514
2635,3159.0,83464453.0,26421.162709718265
2637,549.0,11898969.0,21673.89617486339
2638,2894.0,54843853.0,18950.88217000691
2639,5366.0,83072780.0,15481.32314573239
2641,2762.0,48395840.0,17522.027516292543
2642,3336.0,55048701.0,16501.40917266187
2643,1081.0,26076809.0,24122.85753931545
2644,7624.0,189757790.0,24889.531741867784
2645,33300.0,634892892.0,19065.852612612613
2646,3484.0,57129016.0,16397.53616532721
2647,397.0,7935369.0,19988.33501259446
2648,13498.0,325886090.0,24143.287153652393
2649,37062.0,814973712.0,21989.46932167719
2650,1722.0,33553486.0,19485.183507549362
2651,1499.0,21744173.0,14505.78585723816
2652,718.0,11258057.0,15679.745125348189
2653,4418.0,80664330.0,18258.110004526934
2655,3222.0,85206486.0,26445.216014897578
2657,3084.0,60762345.0,19702.446498054476
2659,985.0,16124247.0,16369.793908629441
2660,10438.0,193744152.0,18561.424794021845
2662,840.0,17204775.0,20481.875
2663,1078.0,13946626.0,12937.500927643785
2664,41445.0,696492950.0,16805.23464832911
2666,1015.0,20490976.0,20188.15369458128
2667,2145.0,34818321.0,16232.317482517483
2668,8811.0,233050137.0,26449.907728975144
2669,706.0,13356462.0,18918.501416430594
2670,2588.0,41337888.0,15972.90880989181
2671,971.0,15886662.0,16361.13491246138
2672,1096.0,26988452.0,24624.5
2673,27944.0,501402848.0,17943.13083309476
2675,17586.0,367307109.0,20886.336233367452
2702,7666.0,226231140.0,29510.97573702061
2703,108492.0,2895979761.0,26693.02585444088
2715,2622.0,68263120.0,26034.75209763539
2717,4357.0,111202199.0,25522.652972228596
2718,11936.0,308605724.0,25855.03719839142
2719,13392.0,309353068.0,23099.840800477898
2720,22304.0,474161740.0,21259.0450143472
2721,18264.0,310142346.0,16981.074572930356
2722,551.0,10884551.0,19754.17604355717
2723,10441.0,170602688.0,16339.688535580883
2724,11903.0,204732137.0,17200.045114676974
2725,4380.0,96604242.0,22055.76301369863
2726,27448.0,660284062.0,24055.8168901195
2738,4357.0,147551019.0,33865.2786320863
2739,5697.0,172561365.0,30289.865718799367
2740,28944.0,521099706.0,18003.721185737977
2743,18158.0,424651602.0,23386.474391452804
2744,8050.0,126282262.0,15687.23751552795
2745,39072.0,816683524.0,20902.014844389843
2746,8919.0,131661467.0,14761.909070523601
2747,46599.0,1179372486.0,25308.965557200798
2748,50160.0,1421750085.0,28344.299940191388
2760,68892.0,2230120392.0,32371.253440167216
2762,22368.0,687446904.0,30733.498927038625
2763,7424.0,253036248.0,34083.5463362069
2764,7276.0,183801388.0,25261.32325453546
2766,15129.0,470306771.0,31086.44133782801
2767,11607.0,343769637.0,29617.44094081158
2768,1314.0,36538869.0,27807.358447488583
2769,10452.0,303831693.0,29069.23966704937
2770,4715.0,137021612.0,29060.787274655355
2771,12579.0,336224404.0,26729.024882741076
2777,14102.0,355528146.0,25211.18607289746
2779,5580.0,159594196.0,28601.110394265233
2780,39589.0,901642252.0,22775.070145747555
2790,27530.0,672780624.0,24438.090228841265
2802,1262.0,34785680.0,27563.930269413628
2804,5036.0,119830884.0,23794.853852263703
2806,15163.0,608756002.0,40147.464354019656
2807,2328.0,42541722.0,18273.93556701031
2808,6129.0,124831698.0,20367.384238864415
2809,16829.0,456496819.0,27125.60574009151
2812,2736.0,75007050.0,27414.85745614035
2813,6822.0,157103992.0,23029.022574025214
2814,13212.0,347601652.0,26309.54072055707
2816,27787.0,697772744.0,25111.48177205168
